ID,sex,age,region,politica,region_custom,age_gen,z1,z2
10781,Masculino,35,Valparaíso,8,Region,Millennial,0.875123,0.25813267
10782,Masculino,60,Antofagasta,3,Region,Baby Boomer,0.48130944,0.29461583
10783,Femenino,40,Metropolitana de Santiago,7,Capital City,Generation X,0.6786962,0.13676004
10784,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.5418364,0.3131721
10785,Masculino,67,Metropolitana de Santiago,4,Capital City,Baby Boomer,0.30349126,0.22382857
10786,Masculino,38,Los Ríos,7,Region,Millennial,0.7957116,0.25567836
10787,Femenino,23,Metropolitana de Santiago,7,Capital City,Generation Z,0.80684316,0.22619016
10788,Masculino,41,Metropolitana de Santiago,6,Capital City,Generation X,0.7241867,0.4462093
10789,Masculino,24,Coquimbo,4,Region,Generation Z,0.36751086,0.19626947
10790,Masculino,33,Araucanía,7,Region,Millennial,0.6096997,0.31161988
10791,Femenino,33,Metropolitana de Santiago,8,Capital City,Millennial,0.8161021,0.29944107
10792,Masculino,46,Metropolitana de Santiago,0,Capital City,Generation X,0.8805148,0.35414472
10793,Masculino,44,Metropolitana de Santiago,8,Capital City,Generation X,0.8924689,0.20397866
10794,Masculino,42,Metropolitana de Santiago,7,Capital City,Generation X,0.8019205,0.371018
10795,Masculino,32,Metropolitana de Santiago,7,Capital City,Millennial,0.7526264,0.54465264
10796,Masculino,41,Metropolitana de Santiago,6,Capital City,Generation X,0.5443825,0.2932795
10797,Masculino,57,Metropolitana de Santiago,2,Capital City,Baby Boomer,0.51353824,0.30314833
10798,Femenino,33,Metropolitana de Santiago,7,Capital City,Millennial,0.8430057,0.67294896
10799,Masculino,30,Biobío,6,Region,Millennial,0.42773208,0.33853346
10800,Femenino,31,Metropolitana de Santiago,4,Capital City,Millennial,0.30845395,0.29419273
10801,Masculino,34,Metropolitana de Santiago,7,Capital City,Millennial,0.92803717,0.33463097
10802,Masculino,39,Ñuble,6,Region,Generation X,0.7996592,0.255797
10803,Masculino,44,Metropolitana de Santiago,2,Capital City,Generation X,0.43216428,0.2806437
10804,Masculino,31,Metropolitana de Santiago,6,Capital City,Millennial,0.15534192,0.44573143
10805,Masculino,29,Metropolitana de Santiago,10,Capital City,Millennial,0.59582,0.30669713
10806,Masculino,55,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.85243094,0.22792155
10807,Masculino,39,Metropolitana de Santiago,4,Capital City,Generation X,0.4388182,0.30379754
10808,Masculino,51,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.82649225,0.19641091
10809,Femenino,42,Metropolitana de Santiago,2,Capital City,Generation X,0.31990337,0.39252374
10810,Femenino,30,Metropolitana de Santiago,4,Capital City,Millennial,0.64202946,0.23618439
10811,Masculino,22,Metropolitana de Santiago,3,Capital City,Generation Z,0.29001176,0.49674904
10812,Masculino,36,Metropolitana de Santiago,4,Capital City,Millennial,0.5068108,0.30876675
10813,Masculino,41,Metropolitana de Santiago,4,Capital City,Generation X,0.5767149,0.35723305
10814,Masculino,27,Metropolitana de Santiago,6,Capital City,Millennial,0.35069266,0.2973823
10815,Masculino,60,Metropolitana de Santiago,6,Capital City,Baby Boomer,0.66099054,0.25743136
10816,Femenino,37,Metropolitana de Santiago,4,Capital City,Millennial,0.5686863,0.30943406
10817,Masculino,37,Valparaíso,1,Region,Millennial,0.22019519,0.54698575
